15 5973 19852
0 374 0.276311 0.0892388
1 374 0.288047 0.0481583
0 375 0.268976 0.0980418
1 375 0.280712 0.0540269
0 376 -0.0273547 0.108312
1 376 -0.0126849 0.0554941
0 377 -0.0346896 0.111246
1 377 -0.0200198 0.0584284
0 378 0.301249 0.117115
1 378 0.310051 0.0701657
0 379 -0.0493594 0.121516
1 379 -0.0342006 0.0682095
0 380 0.16482 0.124451
1 380 0.173622 0.0701657
0 381 -0.0552274 0.127385
1 381 -0.040313 0.0731
0 382 0.223499 0.127385
1 382 0.232301 0.0789687
0 383 0.229367 0.130319
1 383 0.238169 0.0804359
0 384 0.232301 0.130319
1 384 0.24257 0.081903
0 385 0.244037 0.130319
1 385 0.254306 0.0833702
0 386 0.323254 0.133254
1 386 0.330589 0.0833702
0 387 0.226433 0.134721
1 387 0.235235 0.0848373
0 388 0.25724 0.137655
1 388 0.266629 0.0901191
0 389 0.157485 0.139122
1 389 0.166287 0.0877717
0 390 0.233768 0.144991
1 390 0.24257 0.0965746
0 391 0.270443 0.144991
1 391 0.280712 0.100683
0 392 -0.0625623 0.147925
1 392 -0.0449585 0.100683
0 393 -0.0346896 0.15086
1 393 -0.0200198 0.0980418
0 394 -0.0640293 0.152327
1 394 -0.0467188 0.109486
0 257 -0.0302887 0.152327
0 395 0.298316 0.155261
1 395 0.304183 0.10391
0 396 -0.0610953 0.156728
1 396 -0.0431981 0.113007
0 397 0.0122538 0.159663
1 397 0.0254567 0.105378
0 398 0.261641 0.162597
1 398 0.27367 0.12181
0 399 0.0547963 0.166998
1 399 0.0665322 0.112713
0 400 0.0503954 0.168466
1 400 0.0621313 0.114181
0 401 0.222032 0.168466
1 401 0.231421 0.12181
0 402 -0.0640293 0.1714
1 402 -0.0464255 0.128852
0 273 0.0562633 0.172867
0 403 -0.0610953 0.175801
1 403 -0.0434915 0.131786
0 404 0.368731 0.175801
1 404 0.372887 0.123228
0 276 -0.0610953 0.180203
0 405 -0.0493594 0.184604
1 405 -0.0317557 0.140589
0 406 -0.0625623 0.186071
1 406 -0.0449585 0.142057
0 407 -0.0596283 0.190473
1 407 -0.0420245 0.147925
0 408 0.217631 0.190473
1 408 0.2279 0.143524
0 409 -0.0537604 0.19194
1 409 -0.0376235 0.146458
0 410 0.383401 0.193407
1 410 0.387801 0.139122
0 407 -0.0581613 0.194874
0 411 -0.0508264 0.197809
1 411 -0.0346896 0.152327
0 412 -0.0552274 0.199276
1 412 -0.0376235 0.153794
0 413 -0.0493594 0.200743
1 413 -0.0332227 0.156728
0 414 0.0254567 0.20221
1 414 0.0386595 0.15086
0 415 -0.0508264 0.203677
1 415 -0.0343962 0.162303
0 416 0.24257 0.203677
1 416 0.254306 0.164064
0 417 0.219098 0.205145
1 417 0.2279 0.16113
0 418 0.200028 0.208079
1 418 0.20883 0.16113
0 419 0.238169 0.208079
1 419 0.248321 0.17005
0 420 0.36433 0.209546
1 420 0.368731 0.155261
0 421 0.0269237 0.21248
1 421 0.0386595 0.16113
